Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,15.422222,15.744444,15.000000,15.744444,9.736567,25322175
2000-01-04,15.866666,16.200001,15.428888,15.830000,9.789478,32068665
2000-01-05,15.916666,16.864445,14.666666,16.137777,9.979812,62196705
2000-01-06,16.466665,17.428888,16.466665,17.428888,10.778250,32472810
2000-01-07,18.497778,18.823334,18.311111,18.823334,11.640596,10404405
2000-01-10,20.247778,20.330000,19.444445,20.330000,12.572333,54891810
2000-01-11,20.044443,21.155556,19.246666,19.637777,12.144257,106926930
2000-01-12,20.111111,20.533333,19.340000,19.741112,12.208160,27736470
2000-01-13,20.000000,20.799999,19.355555,19.549999,12.089973,30018285
2000-01-14,19.553333,20.082222,19.182222,19.723333,12.197165,25892145
2000-01-17,20.110001,20.110001,18.145555,18.163334,11.232441,79375635
2000-01-18,17.911112,18.444445,17.688889,18.252222,11.287413,36333945
2000-01-19,18.444445,18.844444,17.799999,18.357777,11.352689,19189800
2000-01-20,18.444445,18.444445,17.304443,17.468887,10.802985,21826980
2000-01-21,17.444445,18.797777,17.444445,18.478888,11.427586,54041490
2000-01-24,18.577778,19.066666,17.388887,17.610001,10.890254,69614775
2000-01-25,17.333332,17.333332,16.201111,16.212221,10.025848,55845675
2000-01-26,16.212221,16.212221,16.212221,16.212221,10.025848,0
2000-01-27,16.688889,17.510000,15.111111,17.307777,10.703356,84060675
2000-01-28,17.044443,17.044443,15.923333,15.982222,9.883613,57447135
2000-01-31,15.800000,16.177776,15.222222,15.382222,9.512565,44699445
2000-02-01,15.488888,16.038889,15.355555,15.590000,9.641059,51973560
2000-02-02,16.000000,16.282223,15.822222,15.867777,9.812841,27027315
2000-02-03,16.022223,16.133333,15.666666,15.757777,9.744814,16067520
2000-02-04,15.844444,15.995555,15.355555,15.455555,9.557919,19718640
2000-02-07,15.744444,16.692223,15.744444,16.606667,10.269778,43533990
2000-02-08,16.913334,17.733334,16.799999,16.961111,10.488971,43611480
2000-02-09,17.431110,18.318888,17.155556,18.318888,11.328639,30496320
2000-02-10,19.784445,19.784445,19.784445,19.784445,12.234959,914535
2000-02-11,21.367777,21.367777,21.367777,21.367777,13.214110,1949355
2000-02-14,22.186666,23.044443,20.044443,20.723333,12.815581,50505660
2000-02-15,20.555555,22.381111,20.222221,22.366667,13.831836,66075660
2000-02-16,22.879999,23.711111,21.666666,22.160000,13.704032,73780875
2000-02-17,22.200001,23.442223,22.045555,22.891111,14.156160,86617935
2000-02-18,23.000000,23.333332,21.059999,21.262222,13.148836,49126365
2000-02-21,22.000000,22.400000,21.333332,21.775555,13.466289,43757370
2000-02-22,21.888887,22.196667,20.502222,20.917776,12.935826,48984435
2000-02-23,21.133333,22.200001,19.244444,19.245556,11.901702,32153490
2000-02-24,19.244444,19.555555,18.022223,18.726665,11.580813,26776935
2000-02-25,19.304443,19.304443,17.799999,18.003332,11.133495,15433560
2000-02-28,18.222221,18.641111,17.468887,17.855555,11.042109,15017760
2000-02-29,18.000000,18.200001,16.427776,16.596666,10.263593,58583295
2000-03-01,16.446667,17.422222,15.777777,16.750000,10.358418,39355560
2000-03-02,16.911112,17.333332,15.875555,16.102222,9.957824,48140865
2000-03-03,16.355555,16.355555,14.814444,15.007777,9.281004,31347810
2000-03-06,15.488888,16.208887,15.488888,16.208887,10.023787,21424815
2000-03-07,16.555555,17.505554,16.266666,17.346666,10.727407,42953940
2000-03-08,18.222221,18.734444,17.333332,17.945555,11.097764,36740205
2000-03-09,18.111111,18.822222,17.491112,18.415554,11.388420,40036455
2000-03-10,18.665554,19.266666,18.001110,18.608889,11.507978,30569670
2000-03-13,19.266666,20.097776,17.777777,18.423332,11.393229,50532345
2000-03-14,18.333332,19.511110,17.577778,19.088888,11.804818,50349870
2000-03-15,19.111111,19.444445,18.355555,18.926666,11.704497,20189790
2000-03-16,19.088888,19.088888,17.413334,17.458887,10.796805,21512565
2000-03-17,17.458887,17.458887,17.458887,17.458887,10.796805,0
2000-03-20,17.458887,17.458887,17.458887,17.458887,10.796805,0
2000-03-21,17.222221,17.508888,16.062222,16.114445,9.965383,17817120
2000-03-22,16.555555,17.111111,16.355555,16.454445,10.175645,20216160
2000-03-23,16.597776,16.617777,15.488888,15.661111,9.685036,13446405
2000-03-24,15.822222,16.288889,15.822222,16.031111,9.913846,11628765
2000-03-27,16.108889,16.266666,15.778888,16.011110,9.901478,10973475
2000-03-28,16.044443,16.086666,15.381111,15.598888,9.646556,17347905
2000-03-29,16.000000,16.666666,15.822222,16.070000,9.937895,15639570
2000-03-30,16.219999,16.755554,15.800000,16.003332,9.896669,27174420
2000-03-31,15.800000,16.707777,15.777777,16.476665,10.189383,26376660
2000-04-03,16.442223,17.795555,16.023333,17.711111,10.952779,77401125
2000-04-04,17.444445,17.444445,16.294443,16.294443,10.076695,26158905
2000-04-05,15.111111,16.444445,15.001111,15.527777,9.602579,31782105
2000-04-06,15.666666,15.800000,14.357777,15.173333,9.383388,19412370
2000-04-07,15.155555,16.308887,15.155555,16.243334,10.045091,48931065
2000-04-10,16.333332,17.151112,16.111111,16.355555,10.114490,65756160
2000-04-11,16.135555,16.177776,15.622222,15.933333,9.853381,21574395
2000-04-12,16.111111,16.435555,15.888888,16.041111,9.920030,15921090
2000-04-13,15.590000,15.590000,15.111111,15.236666,9.422552,18104850
2000-04-14,15.236666,15.236666,15.236666,15.236666,9.422552,0
2000-04-17,15.111111,15.111111,14.017777,14.017777,8.668777,14576715
2000-04-18,14.017777,14.383333,12.896666,12.904444,7.980277,31004595
2000-04-19,13.755555,13.755555,12.400000,12.937777,8.000889,34064820
2000-04-20,12.700000,12.998888,12.058888,12.793333,7.911564,41329575
2000-04-21,12.793333,12.793333,12.793333,12.793333,7.911564,0
2000-04-24,12.777777,12.777777,11.770000,11.798888,7.296587,28114110
2000-04-25,11.126666,11.688888,10.884444,11.413333,7.058153,39306870
2000-04-26,11.773333,12.326666,11.773333,12.326666,7.622970,13693905
2000-04-27,13.200000,13.200000,12.326666,12.776666,7.901256,42644295
2000-04-28,12.777777,12.997777,12.466666,12.648888,7.822237,16091325
2000-05-01,12.648888,12.648888,12.648888,12.648888,7.822237,0
2000-05-02,12.555555,12.755555,11.666666,11.732222,7.255358,19518795
2000-05-03,11.155555,12.100000,11.002222,11.682222,7.224438,26214345
2000-05-04,11.777777,12.377777,11.555555,12.203333,7.546702,23126985
2000-05-05,12.306666,12.733333,12.200000,12.542222,7.756273,28845900
2000-05-08,12.711111,13.180000,11.538888,11.563333,7.150915,21826890
2000-05-09,11.251111,12.022222,11.111111,11.757777,7.271162,19544895
2000-05-10,11.888888,12.343333,11.533333,11.844444,7.324758,50368050
2000-05-11,11.777777,12.122222,11.444444,11.850000,7.328197,25414065
2000-05-12,11.997777,12.631111,11.800000,12.432222,7.688246,60344190
2000-05-15,12.266666,13.111111,11.911111,12.898888,7.976840,39295890
2000-05-16,13.004444,14.106666,13.004444,13.906666,8.600063,60499710
2000-05-17,14.111111,14.222222,13.622222,13.745555,8.500428,54674685
2000-05-18,13.556666,13.888888,13.222222,13.437777,8.310095,33660045
2000-05-19,13.267777,13.822222,13.224444,13.756666,8.507301,25232940
2000-05-22,13.666666,14.173333,13.583333,13.965555,8.636482,32256225
2000-05-23,14.012222,14.444444,13.938888,14.291111,8.837810,34554555
2000-05-24,14.222222,14.644444,13.377777,13.887777,8.588383,50074470
2000-05-25,13.644444,14.866666,13.644444,14.545555,8.995161,87081570
2000-05-26,14.664444,15.088888,14.336666,14.928888,9.232219,67468050
2000-05-29,14.888888,15.111111,14.666666,14.900000,9.214355,35270865
2000-05-30,14.955555,16.644444,14.844444,16.425554,10.157776,70961985
2000-05-31,17.111111,17.533333,15.755555,16.124443,9.971564,133330680
2000-06-01,15.896666,16.288889,15.357777,15.458888,9.559978,53579205
2000-06-02,15.622222,15.977777,15.245555,15.477777,9.571659,55752840
2000-06-05,15.775555,16.088888,14.688888,14.780000,9.140144,63830700
2000-06-06,14.688888,15.107777,14.446666,14.843333,9.179312,44796780
2000-06-07,14.866666,15.552222,14.777777,15.294444,9.458281,39737520
2000-06-08,15.443333,15.843333,15.334444,15.724444,9.724201,41471595
2000-06-09,15.600000,16.022223,15.355555,15.544444,9.612885,38582685
2000-06-12,15.622222,15.622222,15.144444,15.294444,9.458281,18363600
2000-06-13,15.177777,15.444444,15.066666,15.330000,9.480270,17628975
2000-06-14,15.486666,15.655555,15.266666,15.506666,9.589524,27043065
2000-06-15,15.555555,16.155556,15.488888,15.931111,9.852004,40404690
2000-06-16,15.973333,16.268888,15.888888,16.082222,9.945455,28782450
